,GlobalIR,DirectIR,DiffuseIR,WindSpeed,Temperature
2021-12-01 07:14:34+00:00,4.0,3.0,1.0,2.61,4.9
2021-12-01 07:14:45+00:00,4.0,3.0,1.0,2.09,4.9
2021-12-01 07:14:57+00:00,4.0,3.0,1.0,2.63,4.9
2021-12-01 07:15:09+00:00,3.5,1.6,1.9,2.46,4.9
2021-12-01 07:15:20+00:00,4.1,3.2,0.9,1.83,4.9
2021-12-01 07:15:32+00:00,3.5,2.6,0.9,2.49,4.9
2021-12-01 07:15:44+00:00,3.4,1.5,1.9,1.63,4.9
2021-12-01 07:15:55+00:00,4.4,3.2,1.2,1.84,4.9
2021-12-01 07:16:07+00:00,3.7,3.0,0.7,1.78,4.9
2021-12-01 07:16:19+00:00,3.5,2.6,0.9,1.17,4.9
2021-12-01 07:16:30+00:00,3.5,2.6,0.9,2.13,4.9
2021-12-01 07:16:42+00:00,4.8,3.9,0.9,3.23,4.9
2021-12-01 07:16:54+00:00,4.1,2.7,1.4,2.49,4.9
2021-12-01 07:17:05+00:00,5.1,4.5,0.6,2.04,4.9
2021-12-01 07:17:17+00:00,4.3,3.0,1.3,1.11,4.9
2021-12-01 07:17:29+00:00,4.8,3.9,0.9,1.69,4.9
2021-12-01 07:17:40+00:00,4.4,3.2,1.2,1.27,4.9
2021-12-01 07:17:52+00:00,4.3,3.0,1.3,1.71,4.9
2021-12-01 07:18:03+00:00,4.9,3.9,1.0,1.51,4.9
2021-12-01 07:18:15+00:00,4.2,2.6,1.6,1.22,4.9
2021-12-01 07:18:27+00:00,3.7,3.2,0.5,0.99,4.9
2021-12-01 07:18:38+00:00,3.5,1.6,1.9,1.44,4.9
2021-12-01 07:18:50+00:00,4.9,4.1,0.8,2.19,4.9
2021-12-01 07:19:02+00:00,4.1,2.7,1.4,2.21,4.9
2021-12-01 07:19:05+00:00,4.1,2.7,1.4,1.82,4.9
2021-12-01 07:19:17+00:00,4.6,3.0,1.6,1.85,4.9
2021-12-01 07:19:28+00:00,2.1,1.5,0.6,1.6,4.9
2021-12-01 07:19:40+00:00,4.1,2.7,1.4,1.48,4.9
